Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,81.760002,82.129997,73.790001,77.949997,17151400,76.605057
2015-11-02,82.300003,87.440002,77.910004,81.660004,14096800,80.251053
2015-10-01,75.199997,83.879997,73.029999,82.739998,15262800,80.609703
2015-09-01,73.300003,75.470001,71.510002,74.349998,15943800,72.435715
2015-08-03,78.699997,79.290001,66.550003,75.239998,19385400,73.302803
2015-07-01,83.279999,83.529999,78.93,79.209999,13648200,76.455231
2015-06-01,85.25,85.970001,82.800003,83.199997,11535800,80.306465
2015-05-01,87.849998,90.089996,84.769997,85.199997,10677700,82.236908
2015-04-01,85.699997,88.669998,83.809998,87.370003,12648500,83.639656
2015-03-02,88.339996,88.519997,82.68,85.00,15618800,81.370842
2015-02-02,87.849998,93.449997,87.50,88.540001,15231200,84.759705
2015-01-02,92.25,93.050003,86.029999,87.419998,17474900,83.062309
2014-12-01,90.360001,95.330002,86.190002,92.449997,18730200,87.841576
2014-11-03,96.559998,97.199997,90.110001,90.540001,12509200,86.026787
2014-10-01,94.110001,96.889999,86.910004,96.709999,15634100,91.230553
2014-09-02,99.43,99.589996,93.620003,94.050003,11782000,88.721268
2014-08-01,98.620003,100.43,97.629997,99.459999,9349000,93.824745
2014-07-01,101.150002,104.760002,98.93,98.940002,9439300,92.688522
2014-06-02,100.529999,104.610001,99.589996,100.68,10404500,94.318581
2014-05-01,101.959999,103.449997,100.32,100.529999,9113600,94.178055
2014-04-01,97.650002,102.57,96.239998,102.410004,11660300,95.292305
2014-03-03,95.760002,98.849998,93.010002,97.68,12765400,90.891045
2014-02-03,91.919998,97.25,89.25,96.269997,13996500,89.579041
2014-01-02,100.599998,101.220001,91.699997,92.160004,13058500,85.151604
2013-12-02,93.269997,101.739998,92.919998,101.199997,13228500,93.504143
2013-11-01,89.739998,96.00,88.269997,93.480003,12856000,86.371223
2013-10-01,85.989998,90.959999,84.790001,89.620003,13341600,82.245148
2013-09-03,87.699997,89.870003,85.610001,86.040001,12800900,78.959747
2013-08-01,92.690002,93.099998,86.389999,87.160004,12914100,79.987579
2013-07-01,90.389999,95.489998,89.959999,93.75,11462900,85.444717
2013-06-03,90.529999,92.269997,88.019997,90.349998,15737500,82.345924
2013-05-01,88.519997,93.50,87.480003,90.470001,13364200,82.455292
2013-04-01,90.129997,90.989998,85.019997,88.989998,14132700,80.549187
2013-03-01,89.07,90.980003,87.900002,90.110001,14126500,81.56295
2013-02-01,90.440002,90.50,87.610001,89.550003,13249100,81.056076
2013-01-02,87.790001,91.93,87.239998,89.970001,13213700,80.919266
2012-12-03,88.550003,90.370003,84.699997,86.550003,15112600,77.843307
2012-11-01,90.25,92.050003,85.059998,88.139999,14342700,79.273354
2012-10-01,91.790001,93.669998,89.68,91.169998,12188600,81.48835
2012-09-04,87.330002,92.57,86.519997,91.449997,14037000,81.738617
2012-08-01,87.019997,88.910004,85.50,87.300003,11399500,78.02932
2012-07-02,85.440002,87.849998,82.830002,86.849998,15548900,77.125885
2012-06-01,77.870003,85.699997,77.129997,85.57,24899800,75.989197
2012-05-01,86.459999,87.519997,78.410004,78.629997,17847200,69.826233
2012-04-02,86.599998,87.669998,81.879997,86.339996,15598400,76.148392
2012-03-01,86.470001,87.25,84.050003,86.730003,15994500,76.492363
2012-02-01,84.230003,87.830002,83.190002,86.50,15949600,76.289513
2012-01-03,85.970001,87.940002,83.459999,83.739998,18038500,73.453262
2011-12-01,80.199997,85.629997,78.660004,84.760002,18567500,74.347969
2011-11-01,75.82,80.529999,73.900002,80.440002,22774900,70.55864
2011-10-03,72.050003,82.199997,69.209999,78.089996,25943600,68.091599
2011-09-01,74.150002,74.980003,67.93,72.629997,27687600,63.330681
2011-08-01,80.82,81.18,67.029999,74.019997,34928400,64.542709
2011-07-01,81.190002,85.410004,79.760002,79.790001,20103800,69.117493
2011-06-01,83.550003,83.650002,76.720001,81.379997,21103900,70.494812
2011-05-02,88.099998,88.129997,79.419998,83.470001,20355400,72.305267
2011-04-01,84.720001,88.00,82.379997,87.980003,16353700,75.782219
2011-03-01,86.410004,86.50,78.800003,84.129997,19767400,72.465988
2011-02-01,81.139999,88.230003,81.040001,85.529999,24636800,73.67189
2011-01-03,73.720001,80.82,73.639999,80.68,24194700,69.12999
